Detector, Descriptor,Average_det_desc, Img1_det,Img1_des,det_des_1,Img2_det,Img2_des,det_des_2,Img3_det,Img3_des,det_des_3,Img4_det,Img4_des,det_des_4,Img5_det,Img5_des,det_des_5,Img6_det,Img6_des,det_des_6,Img7_det,Img7_des,det_des_7,Img8_det,Img8_des,det_des_8,Img9_det,Img9_des,det_des_9,Img10_det,Img10_des,det_des_10,Average_det_desc
SHITOMASI,BRISK,12.2850,11.1378,1.2439,12.3817,10.2517,1.5117,11.7634,22.9957,1.1704,24.1661,7.1919,1.1759,8.3677,8.4419,1.5065,9.9484,9.5701,1.4555,11.0255,9.5582,1.4636,11.0218,9.6292,1.5292,11.1584,9.5866,1.4399,11.0265,9.6007,2.3896,11.9903,12.2850
SHITOMASI,BRIEF,19.2929,11.1126,0.4451,11.5577,10.1750,0.8587,11.0337,26.5259,0.6042,27.1301,21.2999,0.7038,22.0037,7.6408,0.7505,8.3912,25.2878,3.3365,28.6243,24.2274,1.2689,25.4963,23.1022,1.2574,24.3596,8.9947,0.7516,9.7463,23.3360,1.2502,24.5862,19.2929
SHITOMASI,ORB,18.3238,11.1800,2.7322,13.9122,10.2195,2.7998,13.0193,9.4221,2.6874,12.1095,7.3459,2.6631,10.0090,23.2196,4.3900,27.6096,18.1077,4.6187,22.7264,23.8684,3.7029,27.5713,10.4759,2.9082,13.3841,11.4306,3.1688,14.5994,24.5365,3.7607,28.2972,18.3238
SHITOMASI,FREAK,50.9559,11.2296,95.1042,106.3338,9.7698,33.2135,42.9833,8.3841,30.6035,38.9876,21.9421,36.4325,58.3746,6.9373,29.9362,36.8735,12.2705,37.7532,50.0237,6.7110,29.8692,36.5802,20.2580,35.7098,55.9678,6.6470,29.5738,36.2208,10.6580,36.5552,47.2132,50.9559
SHITOMASI,SIFT,30.8783,19.4429,25.7787,45.2216,11.8756,18.4094,30.2850,11.7854,17.8116,29.5970,11.5018,18.7999,30.3017,11.6253,17.2709,28.8962,11.5782,16.5303,28.1085,11.8085,16.7562,28.5647,11.4962,18.1387,29.6349,12.1035,17.7737,29.8772,11.7443,16.5517,28.2960,30.8783
HARRIS,BRISK,12.9866,11.4286,0.8225,12.2511,9.8407,0.7617,10.6024,23.0235,0.3903,23.4138,7.6633,0.7607,8.4240,9.9613,0.8110,10.7723,18.0171,0.9421,18.9592,8.9910,0.7383,9.7293,10.5675,0.8330,11.4005,9.8416,0.8193,10.6609,12.7878,0.8647,13.6525,12.9866
HARRIS,BRIEF,19.4674,11.5402,0.6917,12.2319,9.7881,0.6074,10.3955,9.7469,0.1699,9.9168,20.1717,0.2907,20.4624,21.6631,0.9565,22.6196,37.5023,0.7956,38.2979,10.3641,0.6866,11.0507,10.9706,0.6526,11.6232,26.9898,0.9816,27.9714,29.1832,0.9218,30.1050,19.4674
HARRIS,ORB,23.0883,11.1098,2.5373,13.6471,9.5962,2.4669,12.0631,9.0491,2.3140,11.3630,19.9064,4.1073,24.0137,21.4010,3.9947,25.3957,36.5560,2.7778,39.3338,8.6908,2.3586,11.0493,26.8657,3.5394,30.4051,24.9909,3.6218,28.6127,31.4731,3.5264,34.9995,23.0883
HARRIS,FREAK,43.2029,10.9139,32.6709,43.5848,9.2440,29.9931,39.2371,9.4155,30.8532,40.2687,21.3879,35.4617,56.8496,7.4214,30.4196,37.8410,15.3448,30.3005,45.6453,18.7754,35.6008,54.3762,8.4475,29.4484,37.8959,7.4144,29.4479,36.8623,10.1646,29.3033,39.4679,43.2029
HARRIS,SIFT,43.2568,19.5130,23.6941,43.2071,17.5699,23.4894,41.0593,17.7283,23.3189,41.0472,17.1834,22.3999,39.5833,17.9353,22.7464,40.6817,32.2082,23.3693,55.5775,16.4980,22.3143,38.8123,19.2451,23.3478,42.5929,18.1314,23.0779,41.2093,22.9066,25.8911,48.7977,43.2568
